uuid,barcode
ca346dc1-3772-4477-8700-88f748a5fca7,TCGA-D8-A27P-01A-11D-A16C-01
45dcca7e-cf3b-4831-b972-d875b1113488,TCGA-PE-A5DD-10A-01D-A27O-01
4301a22d-38a2-4891-90ee-b934e38cfd6e,TCGA-A7-A426-10A-01D-A242-01
18b0bd2d-505f-4ecb-9bea-b52e6a74cebd,TCGA-E2-A1LH-11A-22R-A14D-07
4b445a8f-b60b-44c3-b501-de93010172f7,TCGA-E9-A1N8-01A-11R-A144-07
0612b79d-efee-4c96-b4ec-59e21a2c9dfc,TCGA-A8-A09R-01A-11D-A011-01
02d7695d-4c77-44b5-b093-678dd6a51571,TCGA-D8-A73X-10A-21D-A32H-01
d7e1d1f4-3189-401d-91dc-048ab13ce5df,TCGA-EW-A1J6-01A-11R-A13Q-07
49479dc0-e9d3-4f74-92f0-a5cbd7ba9424,TCGA-A2-A25A-01A-12D-A16C-01
918b93f8-f19a-48eb-b75f-90a8de6128bd,TCGA-A7-A56D-11A-72D-A27O-01
526d750f-3cab-4379-9b3e-1b7f9fa84528,TCGA-E2-A2P5-01A-11R-A19W-07
dac5feef-b50e-48f6-8d46-4efefa6bb5e4,TCGA-GM-A2DL-10C-01D-A18N-01
d6e4242d-32be-436b-97ed-169d046ba96c,TCGA-BH-A0EE-01A-11D-A744-36
9f06e9cd-8184-4b66-a2e0-96da9a7159e8,TCGA-A7-A6VY-01A-12R-A33J-07
071224be-7c50-4f62-b6fd-e99275b6f11b,TCGA-OL-A66L-10A-01D-A31T-01
c99a76cb-963c-41ef-a902-ac7873043bac,TCGA-A7-A13D-10A-02D-A12N-01
cbdd5876-5e4c-425c-b8f0-efdcd793ea7e,TCGA-AC-A3OD-01A-11D-A89C-36
0de76089-860a-4d0a-9324-4948aa4d383b,TCGA-E2-A106-01A-11D-A10L-01
90eefb33-6808-45c3-9ab1-6eca0decdc9d,TCGA-BH-A1FU-01A-11R-A14D-07
898920ea-31b3-4244-a413-4b957e93594f,TCGA-A7-A425-01A-11R-A24H-07
0fef4f4a-1c4e-4035-acff-af12febbaf1e,TCGA-B6-A1KF-01A-11R-A13Q-07
4a892c8a-746a-455b-9805-4eebf964d66a,TCGA-AO-A0J6-10A-01D-A037-01
5ef64b2e-ae01-4df7-8ff5-6a4aed633674,TCGA-AR-A0TZ-01A-12D-A893-36
1dc3de00-f0cd-4f1e-abd0-794205d4a3e3,TCGA-AO-A03P-01A-11D-A011-01
a8898537-0afa-4655-b123-78c11b90c53a,TCGA-A7-A0DB-01A-11R-A00Z-07
6f332895-1fd5-4977-bb79-1e192ed98337,TCGA-C8-A27B-01A-11D-A166-01
cda2eb61-7b92-4e3f-9736-21f0349fea93,TCGA-LD-A7W6-10A-01D-A350-01
dc4d1a63-4c75-4093-84de-5cf1201b7c3a,TCGA-A8-A0A1-01A-11D-A88Z-36
e8149278-3269-4dbe-9500-7045fd56cd2f,TCGA-B6-A2IU-01A-32R-A18M-07
abefed1d-9f40-4a97-9435-4d9df47f7ebd,TCGA-D8-A147-01A-11R-A115-07
2e7a0005-4efb-4121-91d9-c2ca2cb5201d,TCGA-E2-A10B-01A-11R-A10J-07
adbae859-f80f-4f28-8a17-9bf28b07b295,TCGA-C8-A1HM-01A-12D-A134-01
467cc312-373e-4655-a07e-533ccb133b22,TCGA-E9-A1RD-01A-11R-A157-07
9751a704-e683-4fd3-91aa-1f4e8225df97,TCGA-A8-A0A7-01A-11D-A88Z-36
2be7367b-9544-4d36-a8b5-2d7d781ff64d,TCGA-A7-A6VW-10A-01D-A89G-36
7baccc3d-54ba-4a3f-8ec0-b54ccd92df45,TCGA-E9-A1RA-01A-11R-A14D-07
1358f883-163e-4d33-aaf6-2aadd60f8473,TCGA-AN-A0FV-01A-11D-A89E-36
