uuid,barcode
d111c4ab-b39a-4a7c-8d8e-cb342bc10627,TCGA-A2-A4RX
f63722c1-a0bb-4bf9-8a10-1d76a8e1a0ba,TCGA-BH-A18M
887b9e5b-99db-44ac-9c30-c0dc6877b41c,TCGA-D8-A1XW
2d4c778c-7f77-4f0a-8261-2086accf15fd,TCGA-AO-A03P
8624354c-af25-423c-9c71-48a5dd821097,TCGA-D8-A1X8
e98b69bc-766a-485f-b5e8-9166b8d457b3,TCGA-A8-A099
ac6d3ba9-f84f-4657-aa85-4d66fb7c09da,TCGA-A2-A1FX
d13fb44b-291b-4ea4-920c-142daa8d1989,TCGA-AC-A5EH
c8f39325-5382-447c-9291-a6915fc978b8,TCGA-OL-A5D7
c54d5507-bba5-4a1e-8885-3c3b1eed13c1,TCGA-D8-A27P
b2ecbc0f-2c30-4200-8d5e-7b95424bcadb,TCGA-A7-A26I
4f321d41-3255-46a4-ae0d-1cf39699e624,TCGA-LQ-A4E4
a76774fe-7298-4d68-a2b2-c1bad93f0c31,TCGA-GM-A2DL
c7c34fd9-3021-45b7-b6ff-30b4196585a8,TCGA-AR-A0TZ
ac075bc0-1b59-4557-beea-541694faee03,TCGA-E9-A1N8
caa9b533-24b4-4ecd-9159-c165de049f6a,TCGA-B6-A0RQ
24e39609-9645-43e5-960b-db5446eaea65,TCGA-E2-A154
f2e28af9-c40e-41c4-9e82-205cca38f26a,TCGA-EW-A1P1
241fffc8-4250-4cfa-b2e7-e68c33ae07dc,TCGA-AR-A24U
e3935ce4-64d3-4a66-ba11-d308b844b410,TCGA-E9-A5FL
a8015490-9740-45c9-8bd2-eb6d1beefc2e,TCGA-E2-A152
ec6930e5-2d83-435a-9a57-a2c5c22caf02,TCGA-BH-A0EB
b205c89f-af62-4186-acad-ed23d243fa98,TCGA-A2-A0YL
c3a981c7-f148-4252-bd50-af8a49ec0df8,TCGA-OL-A5D6
f3cb557d-23e4-4fd1-81ca-db1a3f56d56e,TCGA-E9-A3QA
aaea5f9c-b35b-47f8-93cb-bdc7b81844ff,TCGA-A2-A25A
24334ac1-28a3-4b61-b590-3f51e375b247,TCGA-BH-A0HK
f0de67ff-8967-4fce-9c12-0e07193285cd,TCGA-E2-A2P5
c694615c-b1c6-499c-8058-995633ebf948,TCGA-E9-A1RF
ad6d26ab-6568-40db-bfb0-394d40e801cf,TCGA-D8-A27V
a8f5c479-8685-4e2d-bb60-63f1cc651083,TCGA-A7-A425
e36e985d-2c44-4e14-854a-7dbca4bb0304,TCGA-E9-A3Q9
d4a1ecdc-399c-4f82-aa7a-68a0c82ded3f,TCGA-E9-A243
4e3699da-4367-4a43-9d66-a117d3ad460d,TCGA-AN-A0XN
ee5744c0-a8dc-43f2-abdd-0b5529a3e9fb,TCGA-EW-A1P6
a6edb6ca-ae9f-4da7-8ebe-92d83d2987fb,TCGA-E2-A158
b0f8d698-a30e-4d8d-b0a2-a5a01fac8406,TCGA-A2-A0T4
f2da1d3f-f226-4c99-a97e-9b26f67d7a5d,TCGA-E9-A1R0
ae65baeb-6b78-492a-8c63-bb7e93e83dc2,TCGA-D8-A27M
d6f911b5-e895-43f8-8f86-0ac2f1bc6fae,TCGA-BH-A0BJ
dfd0b7ba-c7d3-498e-b455-346301865452,TCGA-AC-A23C
c3148e68-1739-4334-abda-1dcbc2166846,TCGA-B6-A0RH
cc074b7f-d3b2-4880-902e-bf10e667b665,TCGA-BH-A18J
f6eebd4b-b63a-4a9c-92d3-0d954a8a6655,TCGA-AC-A2FE
cab38ea8-4555-413c-b81e-4621aac4ef85,TCGA-BH-A0H5
f3b86c02-09a5-4e97-aa7a-86f13f7cda4b,TCGA-EW-A1PE
b6b1dc9a-91f4-4b0a-afd5-62c9a90c0d5e,TCGA-AC-A2FM
aba5f46a-e67a-4cd2-9c52-c0686968ff04,TCGA-EW-A6SA
f0d8a1fe-e313-44f1-99cc-b965cbeeff0e,TCGA-C8-A27B
e8ea576b-eb16-44f7-b241-daefc1375388,TCGA-A7-A6VY
c397e6c2-ba3a-4f5e-a258-c140611192fe,TCGA-A1-A0SE
d48e9f25-f083-4f88-a92d-c12d9f765ba6,TCGA-A7-A426
a991644b-3ee6-4cda-acf0-e37de48a49fc,TCGA-AN-A03Y
f6581eee-61b9-43d4-ab0d-ce5ce3ba1c74,TCGA-BH-A1FJ
eb93df3d-9e25-4e4c-9a5d-350f296e5acf,TCGA-D8-A1X5
f0787165-6f58-4d67-b510-928eea2c4882,TCGA-E2-A109
b1d44c81-747d-471f-9093-aeb262a17975,TCGA-Z7-A8R6
e9a12df9-024e-4cbc-b6bf-e4e87485fa90,TCGA-LL-A5YM
c364e81c-eb1e-4870-ab37-9c661f5f2e3d,TCGA-AR-A0TX
d1703dbd-5c93-4cf2-a4d1-0d90640882bd,TCGA-AR-A0TR
af0acaa9-a61c-4e57-bc0d-453ad5bf193a,TCGA-OL-A66L
e3b555aa-7f0a-49c6-9b13-182c61a144c1,TCGA-A2-A1G4
b35fbe19-0e6d-427e-b9be-ee3527b5fca6,TCGA-E9-A2JT
303a1d77-a37a-4966-a4a4-9981d99ba1b4,TCGA-E2-A14Q
ac68d219-5670-4ddd-8df6-8aa7ad59e5c7,TCGA-EW-A1OV
eda6d2d5-4199-4f76-a45b-1d0401b4e54c,TCGA-AR-A1AR
f72c1d69-da35-459f-8542-59bfd6c09c23,TCGA-AR-A1AX
b205bba0-1870-4458-9088-8817e20389fe,TCGA-A8-A09A
f02931f8-d72a-481d-b532-8b141dab115f,TCGA-B6-A0WW
f45aa0b2-f3de-4db5-9730-e5c6c4e2ed3a,TCGA-EW-A2FV
ec461eaf-f5cb-4225-a9a0-59d8e6c17ea6,TCGA-S3-A6ZH
ec77a23d-84f5-47e4-bf2a-fa1c03baf3db,TCGA-E2-A15F
eafa45a4-2fd1-4fa3-860c-9d52ed382b7d,TCGA-E2-A15O
c0892598-1f7b-4f23-9cd8-731f797753d5,TCGA-A2-A0YG
f062cbd0-2426-40ac-a4be-e74ac61fa2a7,TCGA-A7-A56D
f55dd73d-8c36-440b-84e5-9aae53107775,TCGA-EW-A1OW
f06f09f3-8133-4a92-ac86-fbe64295e0d8,TCGA-E9-A1ND
56203436-8634-4fd0-96b5-ba6be9d87857,TCGA-D8-A1JK
b2aac45b-2073-4c7a-adb9-769a4fdcc111,TCGA-E9-A1NH
b0bcb829-cee0-4247-bb75-093a5bea89ee,TCGA-E2-A105
f4b69043-4a67-48e3-a4d1-72a21ae2d175,TCGA-A8-A090
ad0fa961-c085-4f38-b3db-5fc0cbf6b64f,TCGA-AR-A2LO
f7064d01-29d8-49a2-ad60-1e0c5f148f3e,TCGA-GM-A5PX
aa4244a8-0454-4247-a1c3-357fd51746fa,TCGA-D8-A1JL
4e509f73-99c7-48eb-a3a4-d34e3bface33,TCGA-OL-A5DA
c70ee5e1-4703-4996-bb5c-f4cca0fb53ba,TCGA-AO-A129
5580b21a-2cdb-4777-ad79-6e06654144f5,TCGA-E2-A15H
c07b122e-ac50-4db2-add2-5617a5d0e976,TCGA-GM-A2DA
af97e043-88cb-4f99-8f8b-9bcbcccdf842,TCGA-EW-A2FR
a78b04b4-2380-4803-963e-e4e633cd69ab,TCGA-A2-A3XS
ac18b3a3-8d52-4e35-8625-673171a7fd92,TCGA-AN-A0XV
c632675e-e8af-43cd-8744-5be3754c1c14,TCGA-A2-A0SU
ab89bb2e-da84-4116-a8cd-49aad7bbfd4d,TCGA-AR-A0TP
86b7b206-8e69-432d-acc9-bccce710955e,TCGA-AO-A0JA
eebad74f-5961-4e91-b0eb-157a2f6f952b,TCGA-E2-A1L8
c57835be-77ab-4cf5-9b23-62c11a7b2eaf,TCGA-AC-A2QI
b6633c36-7ce4-4b69-9bf6-30b64d46c66f,TCGA-A8-A07C
d8492ebd-3d94-4a4b-8de7-386526691cc2,TCGA-E2-A1BC
